iter	RMSE
0	3.024314831
1	2.960167724
2	2.888364683
3	2.821247696
4	2.755749151
5	2.698093892
6	2.632746903
7	2.576688846
8	2.520815853
9	2.46699523
10	2.415450206
11	2.366389548
12	2.315404376
13	2.270131855
14	2.220218065
15	2.173641272
16	2.128982588
17	2.087939275
18	2.043952179
19	2.006617295
20	1.971030422
21	1.931728259
22	1.886279173
23	1.850850013
24	1.817689732
25	1.781609892
26	1.747552312
27	1.712226214
28	1.683712732
29	1.653679964
30	1.623301281
31	1.58965163
32	1.564876684
33	1.53721994
34	1.506786794
35	1.478699151
36	1.454126532
37	1.428129978
38	1.402540632
39	1.377530433
40	1.356913826
41	1.336776345
42	1.316833367
43	1.297757159
44	1.277605666
45	1.256991035
46	1.236970189
47	1.214444135
48	1.19486864
49	1.178877793
50	1.160865144
51	1.141108099
52	1.126738979
53	1.109996235
54	1.094765466
55	1.079425413
56	1.064350944
57	1.04969661
58	1.038197894
59	1.023131339
60	1.010785463
61	0.9981714053
62	0.9853996212
63	0.9722271219
64	0.9580618676
65	0.9472443971
66	0.9381186996
67	0.9282226914
68	0.9188145733
69	0.9096408594
70	0.8997314596
71	0.8887923849
72	0.8780553277
73	0.8699244836
74	0.8632213969
75	0.8549434775
76	0.8439182126
77	0.8349525089
78	0.8270419839
79	0.8174939819
80	0.8086582497
81	0.8031068494
82	0.7944514583
83	0.7871846041
84	0.7787531232
85	0.7736587622
86	0.7668314899
87	0.758688661
88	0.7522741248
89	0.7458866126
90	0.7409071018
91	0.734051601
92	0.7290337449
93	0.7224397832
94	0.7143609449
95	0.7079994511
96	0.7012433543
97	0.6947490089
98	0.6890034108
99	0.6856157019
100	0.6799859266
101	0.6738132248
102	0.6686805592
103	0.663805297
104	0.6582710957
105	0.6525997797
106	0.6486763833
107	0.6424211583
108	0.6373521013
109	0.6323590145
110	0.6283106619
111	0.6244086356
112	0.6202725826
113	0.6155958763
114	0.6119180784
115	0.6070550835
116	0.6028745588
117	0.5983632504
