iter	Passed	Remaining
0	1	1196
1	1	747
2	1	575
3	2	532
4	2	473
5	2	439
6	2	420
7	3	398
8	3	405
9	4	404
10	4	402
11	4	398
12	5	381
13	5	372
14	5	362
15	5	353
16	5	343
17	6	380
18	7	371
19	7	364
20	7	358
21	7	344
22	7	333
23	8	333
24	8	328
25	8	323
26	8	318
27	9	314
28	9	311
29	9	306
30	9	302
31	9	298
32	10	294
33	10	294
34	10	291
35	10	287
36	10	285
37	11	283
38	11	278
39	11	277
40	11	274
41	11	273
42	12	271
43	12	270
44	12	268
45	12	266
46	13	267
47	13	266
48	13	266
49	13	265
50	14	264
51	14	263
52	14	261
53	14	261
54	15	258
55	15	259
56	15	257
57	15	255
58	16	255
59	16	255
60	16	254
61	16	253
62	17	253
63	17	253
64	17	251
65	17	250
66	17	250
67	18	250
68	18	249
69	18	246
70	19	251
71	19	252
72	19	253
73	20	252
74	20	251
75	20	249
76	20	248
77	20	248
78	21	252
79	21	251
80	22	252
81	22	251
82	22	251
83	22	250
84	23	249
85	23	248
86	23	248
87	23	248
88	24	247
89	24	249
90	25	251
91	25	250
92	25	250
93	26	253
94	26	252
95	26	252
96	27	252
97	27	254
98	27	253
99	28	253
100	28	252
101	28	252
102	28	252
103	29	251
104	29	250
105	29	249
106	29	248
107	29	247
108	30	245
109	30	244
110	30	244
111	30	243
112	30	243
113	31	243
114	31	242
115	31	241
116	32	241
117	32	241
118	32	241
119	32	241
120	33	240
121	33	240
122	33	239
123	33	239
124	34	239
125	34	239
126	34	238
127	34	238
128	35	237
129	35	236
130	35	236
131	35	236
132	36	235
133	36	235
134	36	234
135	36	234
136	37	233
137	37	233
138	37	233
139	38	233
140	38	233
141	38	232
142	38	232
143	38	231
144	39	231
145	40	235
146	40	235
147	40	234
148	40	233
149	41	233
150	41	233
151	41	232
152	41	232
153	42	231
154	42	230
155	42	229
156	42	229
157	42	228
158	43	228
159	43	227
160	43	227
161	43	226
162	44	226
163	44	225
164	44	224
165	44	224
166	44	224
167	45	223
168	45	223
169	45	222
170	46	223
171	46	222
172	46	222
173	46	222
174	47	222
175	47	222
176	47	222
177	48	222
178	48	222
179	48	221
180	49	222
181	49	221
182	49	220
183	49	220
184	49	219
185	50	218
186	50	218
187	50	217
188	50	216
189	50	216
190	50	215
191	51	214
192	51	214
193	51	213
194	51	212
195	51	212
196	51	211
197	52	211
198	52	210
199	52	209
200	52	209
201	52	208
202	52	207
203	53	207
204	53	206
205	53	206
206	53	205
207	53	204
208	54	204
209	54	203
210	54	203
211	54	202
212	54	202
213	54	201
214	55	201
215	55	200
216	55	199
217	55	199
218	55	198
219	55	198
220	56	197
221	56	197
222	56	196
223	56	196
224	56	195
225	57	195
226	57	194
227	57	194
228	57	193
229	57	193
230	57	192
231	58	192
232	58	191
233	58	191
234	58	190
235	58	190
236	58	189
237	59	189
238	59	188
239	59	188
240	59	187
241	59	187
242	59	186
243	60	186
244	60	185
245	60	185
246	60	184
247	60	184
248	61	184
249	63	189
250	63	190
251	64	190
252	64	190
253	64	189
254	64	189
255	64	188
256	65	188
257	65	187
258	65	187
259	65	186
260	65	186
261	66	186
262	66	185
263	66	185
264	66	184
265	66	184
266	66	183
267	67	183
268	67	182
269	67	182
270	67	181
271	67	181
272	67	181
273	68	180
274	68	180
275	68	179
276	80	209
277	80	209
278	80	208
279	80	208
280	81	207
281	81	207
282	81	206
283	81	206
284	81	205
285	82	204
286	82	204
287	82	203
288	82	203
289	82	202
290	82	202
291	83	201
292	83	201
293	83	200
294	84	202
295	84	201
296	85	201
297	85	201
298	86	201
299	86	201
300	86	200
301	86	200
302	86	199
303	86	199
304	87	198
305	87	198
306	87	197
307	88	197
308	88	197
309	88	196
310	88	196
311	89	196
312	89	196
313	89	196
314	89	195
315	90	195
316	90	195
317	90	194
318	91	194
319	91	194
320	92	194
321	92	194
322	92	193
323	92	193
324	92	192
325	92	192
326	93	191
327	93	191
328	93	190
329	93	190
330	93	189
331	94	189
332	94	188
333	94	188
334	94	187
335	94	187
336	95	187
337	95	187
338	95	187
339	96	186
340	96	186
341	97	186
342	97	186
343	97	186
344	97	186
345	98	185
346	98	185
347	98	185
348	99	184
349	99	184
350	99	184
351	100	184
352	100	184
353	100	183
354	101	183
355	101	183
356	101	183
357	101	182
358	102	182
359	102	182
360	102	181
361	103	181
362	103	181
363	104	182
364	104	181
365	104	181
366	105	181
367	105	180
368	105	180
369	105	180
370	106	180
371	106	179
372	106	179
373	106	179
374	107	178
375	107	178
376	107	178
377	108	177
378	108	177
379	108	176
380	108	176
381	108	176
382	109	176
383	109	175
384	109	175
385	110	175
386	110	174
387	110	174
388	110	174
389	111	173
390	111	173
391	111	173
392	111	172
393	112	172
394	112	172
395	112	171
396	112	171
397	113	171
398	113	170
399	113	170
400	113	170
401	114	169
402	114	169
403	114	169
404	114	168
405	115	168
406	115	168
407	115	167
408	115	167
409	116	167
410	116	166
411	116	166
412	116	165
413	117	165
414	117	165
415	117	165
416	117	164
417	118	164
418	118	164
419	118	163
420	118	163
421	119	163
422	119	162
423	119	162
424	119	162
425	120	162
426	120	161
427	121	161
428	121	162
429	122	161
430	122	161
431	122	161
432	122	161
433	123	160
434	123	160
435	123	159
436	123	159
437	124	159
438	124	158
439	124	158
440	124	158
441	125	158
442	125	157
443	125	157
444	125	157
445	126	156
446	126	156
447	126	156
448	126	155
449	127	155
450	127	155
451	127	154
452	127	154
453	128	154
454	128	153
455	128	153
456	129	153
457	129	152
458	129	152
459	129	152
460	129	151
461	130	151
462	130	151
463	130	150
464	130	150
465	131	150
466	131	149
467	131	149
468	131	149
469	131	148
470	132	148
471	132	148
472	132	147
473	132	147
474	133	147
475	133	146
476	133	146
477	133	146
478	134	145
479	134	146
480	135	145
481	135	145
482	135	145
483	136	145
484	136	144
485	136	144
486	136	144
487	137	143
488	137	143
489	137	143
490	138	143
491	138	142
492	138	142
493	139	142
494	139	142
495	139	142
496	140	141
497	140	141
498	141	141
499	141	141
500	143	143
501	143	142
502	144	142
503	144	142
504	144	142
505	145	141
506	145	141
507	145	141
508	146	141
509	146	140
510	146	140
511	147	140
512	147	139
513	147	139
514	147	139
515	148	139
516	148	138
517	148	138
518	148	138
519	149	137
520	149	137
521	149	137
522	150	136
523	150	136
524	150	136
525	151	136
526	151	135
527	151	135
528	151	135
529	151	134
530	152	134
531	152	134
532	152	133
533	152	133
534	153	133
535	153	132
536	153	132
537	153	132
538	154	131
539	155	132
540	155	131
541	155	131
542	155	131
543	156	130
544	156	130
545	156	130
546	156	129
547	157	129
548	157	129
549	157	128
550	157	128
551	158	128
552	158	128
553	158	127
554	158	127
555	159	127
556	159	126
557	159	126
558	159	126
559	160	125
560	160	125
561	160	125
562	160	124
563	160	124
564	161	124
565	161	123
566	161	123
567	161	123
568	162	122
569	162	122
570	162	122
571	162	121
572	163	121
573	163	121
574	163	120
575	163	120
576	164	120
577	164	119
578	164	119
579	164	119
580	165	119
581	165	118
582	165	118
583	165	118
584	166	117
585	166	117
586	166	117
587	166	116
